id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,L_id,state,zip_code,school_type,school_level,charter,PerPupil_Total_Expenditure,PerPupil_Salary_Expenditure,PerPupil_Benefits_Expenditure,PerInstructor_Total_Expenditure,PerInstructor_Salary,PerInstructor_Benefits,PerPupil_StudentSupport_Expenditure
291359000580,0.0625312656328164,0.467613873798579,0.766901408450704,40978.0,21.6,0.315555555555556,2016-2017,2913590,MO,64644,Regular School,High,No,11320.0,6873.0,1924.0,7047.0,4730.0,1340.0,387.0
291362000583,0.0733282674772037,0.3456749672346,0.606837606837607,43641.0,19.7,0.613526570048309,2016-2017,2913620,MO,63125,Regular School,High,No,12794.0,7922.0,2253.0,7110.0,5033.0,1391.0,600.0
291365000595,0.0551282051282051,0.540458937198068,0.648609077598829,44673.0,21.1,0.391595033428844,2016-2017,2913650,MO,63401,Regular School,High,No,8582.0,5635.0,1752.0,5431.0,3755.0,1172.0,298.0
291371000599,0.0474631751227496,0.573396158028271,0.945121951219512,65348.0,20.9,0.259036144578313,2016-2017,2913710,MO,65256,Regular School,High,No,9249.0,5260.0,1539.0,5570.0,3508.0,1005.0,279.0
291376000605,0.0595238095238095,0.538720538720539,0.621387283236994,45582.0,21.5,0.277056277056277,2016-2017,2913760,MO,64701,Regular School,High,No,10142.0,6086.0,1812.0,5703.0,4056.0,1166.0,547.0
291377000608,0.12992125984252,0.368863955119215,0.818443804034582,34505.0,20.9,0.507836990595611,2016-2017,2913770,MO,65667,Regular School,High,No,8735.0,5503.0,1644.0,5295.0,3676.0,1051.0,235.0
291380000611,0.0588803088803089,0.317258883248731,0.17680608365019,23368.0,17.3,0.786561264822134,2016-2017,2913800,MO,63851,Regular School,High,No,9644.0,5120.0,1679.0,5951.0,3496.0,1156.0,445.0
291383000622,0.0971746575342466,0.732865400495458,0.562457337883959,63640.0,18.1,0.449421238047307,2016-2017,2913830,MO,63031,Regular School,High,No,10359.0,6715.0,2214.0,6013.0,4318.0,1412.0,527.0
291383000625,0.0627580511973576,0.668879668049792,0.46969696969697,34381.0,18.1,0.444444444444444,2016-2017,2913830,MO,63042,Regular School,High,No,10359.0,6715.0,2214.0,6013.0,4318.0,1412.0,527.0
291383002696,0.0909456740442656,0.631134729603001,0.452209660842754,42961.0,16.4,0.688583815028902,2016-2017,2913830,MO,63138,Regular School,High,No,10359.0,6715.0,2214.0,6013.0,4318.0,1412.0,527.0
291425000639,0.0684636118598383,0.614035087719298,0.711379050489827,51806.0,21.4,0.336658354114713,2016-2017,2914250,MO,63048,Regular School,High,No,10434.0,6134.0,2091.0,6177.0,4127.0,1398.0,338.0
291428000646,0.0752797558494405,0.525547445255474,0.647294589178357,37007.0,21.0,0.208695652173913,2016-2017,2914280,MO,65041,Regular School,High,No,9068.0,5405.0,1632.0,5539.0,3644.0,1112.0,344.0
291432002372,0.169425511197663,0.451289398280802,0.664814814814815,31250.0,21.8,0.350230414746544,2016-2017,2914320,MO,65767,Regular School,High,No,8827.0,5467.0,1627.0,5156.0,3425.0,1000.0,292.0
291434003156,0.206191265892758,0.502751375687844,0.316762268961122,35179.0,17.2,0.743427017225748,2016-2017,2914340,MO,64134,Regular School,High,No,11007.0,6411.0,2079.0,5681.0,3833.0,1144.0,641.0
291440000672,0.0684977958630044,0.503194888178914,0.602722772277228,46553.0,21.5,0.339222614840989,2016-2017,2914400,MO,64037,Regular School,High,No,9882.0,5716.0,1688.0,6087.0,4265.0,1233.0,337.0
291443000675,0.12316384180791,0.556070435588508,0.894957983193277,61700.0,21.5,0.223478260869565,2016-2017,2914430,MO,63050,Regular School,High,No,9245.0,5841.0,1919.0,5445.0,3711.0,1195.0,386.0
291446000678,0.0770653514180025,0.328508771929825,0.632502308402585,35471.0,19.1,0.47244094488189,2016-2017,2914460,MO,63852,Regular School,High,No,8132.0,5298.0,1534.0,4956.0,3305.0,975.0,303.0
291449000680,0.110128261831048,0.459459459459459,0.688766114180479,43981.0,21.3,0.29426433915212,2016-2017,2914490,MO,64040,Regular School,High,No,9877.0,5041.0,1618.0,5710.0,3668.0,1147.0,423.0
291455000684,0.0826552462526767,0.524437548487199,0.872740419378163,45017.0,20.0,0.577639751552795,2016-2017,2914550,MO,65672,Regular School,High,No,10611.0,6899.0,2034.0,5639.0,3996.0,1173.0,337.0
291484000688,0.0498744169357732,0.398256605829474,0.718460441910192,38256.0,20.8,0.402597402597403,2016-2017,2914840,MO,65483,Regular School,High,No,10840.0,6608.0,2118.0,7490.0,4706.0,1477.0,376.0
291542000703,0.0921938088829071,0.497796062297972,0.755089820359281,40885.0,19.7,0.37888198757764,2016-2017,2915420,MO,65486,Regular School,High,No,8952.0,5672.0,1529.0,5559.0,3835.0,1014.0,251.0
291545000705,0.0555237550085861,0.392065344224037,0.559113300492611,42981.0,22.9,0.341085271317829,2016-2017,2915450,MO,63780,Regular School,High,No,9043.0,5811.0,1648.0,5906.0,4155.0,1162.0,452.0
291548000722,0.080964970257766,0.556891766882516,0.6328,53952.0,20.6,0.382822085889571,2016-2017,2915480,MO,64055,Regular School,High,No,10105.0,6580.0,2029.0,5419.0,3818.0,1148.0,513.0
291548000724,0.0881595881595882,0.482153306026916,0.63558106169297,44573.0,20.6,0.551676933607118,2016-2017,2915480,MO,64050,Regular School,High,No,10105.0,6580.0,2029.0,5419.0,3818.0,1148.0,513.0
291548003096,0.167895878524946,0.394775570272259,0.328609986504723,29322.0,17.7,0.707589285714286,2016-2017,2915480,MO,64053,Regular School,High,No,10105.0,6580.0,2029.0,5419.0,3818.0,1148.0,513.0
291560000738,0.0877245508982036,0.541255984229794,0.73732970027248,39560.0,22.3,0.246812386156648,2016-2017,2915600,MO,63755,Regular School,High,No,8083.0,4999.0,1620.0,4854.0,3186.0,1046.0,432.0
291614000745,0.0580290145072536,0.501639344262295,0.57031857031857,41014.0,20.1,0.4,2016-2017,2916140,MO,64755,Regular School,High,No,8626.0,5200.0,1464.0,5392.0,3640.0,1011.0,320.0
291619000749,0.0882948562170919,0.62075055187638,0.42654028436019,34183.0,21.4,0.336960746210649,2016-2017,2916190,MO,65101,Regular School,High,No,9661.0,5958.0,1735.0,5659.0,4005.0,1162.0,451.0
291623003144,0.101528812230498,0.630171073094868,0.675728155339806,56200.0,20.7,0.216393442622951,2016-2017,2916230,MO,63028,Regular School,High,No,10506.0,6306.0,2225.0,5911.0,3955.0,1260.0,333.0
291629000769,0.265216112907968,0.570263658602881,0.340621963070943,27038.0,15.5,0.774709302325581,2016-2017,2916290,MO,63136,Regular School,High,No,10535.0,6744.0,1895.0,5565.0,4063.0,1126.0,472.0
291635000787,0.0929971988795518,0.43213897937025,0.511488511488511,32884.0,21.7,0.454287067740407,2016-2017,2916350,MO,64802,Regular School,High,No,8004.0,5280.0,1491.0,4766.0,3464.0,952.0,284.0
291638000797,0.0396761133603239,0.550037622272385,0.665568369028007,41250.0,20.4,0.312883435582822,2016-2017,2916380,MO,63445,Regular School,High,No,8753.0,5254.0,1587.0,5698.0,3756.0,1130.0,267.0
291640000840,0.187096774193548,0.456580125335721,0.206049149338374,29275.0,14.8,0.740331491712707,2016-2017,2916400,MO,64128,Career and Technical School,High,No,14070.0,7606.0,2346.0,6883.0,4259.0,1320.0,545.0
291640000860,0.124381625441696,0.342051282051282,0.262135922330097,25473.0,14.7,0.6884765625,2016-2017,2916400,MO,64124,Regular School,High,No,14070.0,7606.0,2346.0,6883.0,4259.0,1320.0,545.0
291640000862,0.197815533980583,0.416581371545548,0.390852390852391,17656.0,16.7,0.640221402214022,2016-2017,2916400,MO,64110,Regular School,High,No,14070.0,7606.0,2346.0,6883.0,4259.0,1320.0,545.0
291640000880,0.216315307057745,0.231222385861561,0.280966767371601,22143.0,14.7,0.745042492917847,2016-2017,2916400,MO,64127,Regular School,High,No,14070.0,7606.0,2346.0,6883.0,4259.0,1320.0,545.0
291640003097,0.16692789968652,0.396703943496174,0.220283533260632,30653.0,14.9,0.757990867579909,2016-2017,2916400,MO,64131,Regular School,High,No,14070.0,7606.0,2346.0,6883.0,4259.0,1320.0,545.0
291645000894,0.0458215142919485,0.748117874811787,0.807822489657766,81763.0,22.8,0.105625717566016,2016-2017,2916450,MO,64060,Regular School,High,No,9973.0,6072.0,1599.0,6474.0,4404.0,1135.0,291.0
291650000897,0.087956698240866,0.366447034972124,0.665148063781321,41389.0,20.6,0.56350626118068,2016-2017,2916500,MO,63857,Regular School,High,No,8828.0,5252.0,1504.0,5569.0,3804.0,1099.0,410.0
291674000916,0.0585683297180043,0.584097859327217,0.692307692307692,21319.0,23.0,0.294117647058824,2016-2017,2916740,MO,63501,Regular School,High,No,9490.0,5806.0,1952.0,6089.0,4299.0,1420.0,300.0
291677000926,0.0223684210526316,0.925733382844411,0.914335664335664,86886.0,23.0,0.131102578167855,2016-2017,2916770,MO,63122,Regular School,High,No,11345.0,7900.0,2324.0,7403.0,5358.0,1577.0,457.0
291683000932,0.0980960264900662,0.629365377393917,0.751292360712234,48973.0,21.1,0.211309523809524,2016-2017,2916830,MO,65336,Regular School,High,No,10047.0,6175.0,1911.0,6134.0,4147.0,1240.0,499.0
291782000946,0.0371167294244217,0.968356997971602,0.867624810892587,194485.0,25.7,0.113192818110851,2016-2017,2917820,MO,63124,Regular School,High,No,13968.0,8953.0,2633.0,8543.0,5965.0,1789.0,574.0
291785000954,0.0580290145072536,0.501639344262295,0.57031857031857,41014.0,20.8,0.344059405940594,2016-2017,2917850,MO,64759,Regular School,High,No,10116.0,5649.0,1806.0,6515.0,4191.0,1347.0,268.0
291788000957,0.109694862881421,0.422374429223744,0.659128978224456,44253.0,19.9,0.478468899521531,2016-2017,2917880,MO,65534,Regular School,High,No,10768.0,7012.0,1713.0,5825.0,4100.0,1046.0,350.0
291797000960,0.048352325223283,0.570098430433626,0.685258964143426,55663.0,21.8,0.238636363636364,2016-2017,2917970,MO,64465,Regular School,High,No,9652.0,5722.0,1701.0,6180.0,4130.0,1215.0,292.0
291822000962,0.0201472297559086,0.549115543846443,0.598582474226804,55114.0,21.2,0.169117647058824,2016-2017,2918220,MO,64062,Regular School,High,No,8818.0,5164.0,1478.0,5350.0,3688.0,1063.0,396.0
291824000966,0.0502772643253235,0.508665749656121,0.764490861618799,35730.0,20.9,0.516363636363636,2016-2017,2918240,MO,63601,Regular School,High,No,9232.0,5959.0,1765.0,5447.0,3666.0,1145.0,581.0
291827000972,0.101628664495114,0.46751269035533,0.589812332439678,31269.0,21.5,0.444989488437281,2016-2017,2918270,MO,65536,Regular School,High,No,9246.0,5668.0,1859.0,5890.0,3969.0,1283.0,298.0
291830000983,0.080225498699046,0.648849005072181,0.267057960381511,37835.0,23.0,0.171875,2016-2017,2918300,MO,64063,Regular School,High,No,10783.0,7034.0,2195.0,6828.0,4787.0,1427.0,463.0
291830001481,0.0596125186289121,0.790384615384615,0.595302619692864,60915.0,23.4,0.136054421768707,2016-2017,2918300,MO,64086,Regular School,High,No,10783.0,7034.0,2195.0,6828.0,4787.0,1427.0,463.0
291830002795,0.0490405117270789,0.836074561403509,0.905008635578584,85399.0,23.6,0.0714666666666667,2016-2017,2918300,MO,64082,Regular School,High,No,10783.0,7034.0,2195.0,6828.0,4787.0,1427.0,463.0
291846000993,0.0542071197411003,0.385724585436193,0.874485596707819,45652.0,20.5,0.273453093812375,2016-2017,2918460,MO,63452,Regular School,High,No,9527.0,5464.0,2149.0,5822.0,3724.0,1481.0,276.0
291848001001,0.0908764367816092,0.555765001570845,0.622432859399684,47211.0,18.7,0.355102040816327,2016-2017,2918480,MO,64067,Regular School,High,No,11183.0,6552.0,1901.0,6506.0,4347.0,1253.0,491.0
291851001003,0.0613650594865373,0.514453961456103,0.848515864892528,37247.0,20.4,0.317880794701987,2016-2017,2918510,MO,64762,Regular School,High,No,9862.0,5720.0,1599.0,5487.0,3448.0,921.0,277.0
